customer_id,full_name,phone_raw,address_raw,city,province,gender,dob,segment,branch,source_campaign,created_date,full_name_clean,phone_clean
C0028,TRAN HOAI BINH,0778619734,"130 Hai Ba Trung, P.1",Can Tho,Can Tho,Male,1997-10-03,VIP,Ha Noi - Hoan Kiem,Old customer list,2024-06-15,Tran Hoai Binh,0778619734
C0029,LE QUANG NAM,0756 697 485,"213 Le Loi, P.5",Can Tho,Ha Noi,Female,2011-11-21,VIP,Ha Noi - Hoan Kiem,Online form,2024-03-29,Le Quang Nam,0756697485
C0030,bui minh nam,0927 387 209,"185 Ly Thuong Kiet, P.7",Hai Phong,Ha Noi,Female,2006-01-29,VIP,Da Nang - Hai Chau,Online form,2024-01-14,Bui Minh Nam,0927387209
C0031,tran hong trang,0863-545-473,"79 Cach Mang Thang 8, P.2",Ho Chi Minh,Ha Noi,Female,2003-07-24,Mass,Can Tho - Ninh Kieu,Branch referral,2024-09-21,Tran Hong Trang,0863545473
C0032,pham hoai phuc,,"33 Cach Mang Thang 8, P.1",Ho Chi Minh,Hai Phong,Female,2002-04-08,Retail,Da Nang - Hai Chau,Online form,2024-02-22,Pham Hoai Phuc,
C0033,nguyen hong phuc,0941 094 840,"39 Cach Mang Thang 8, P.1",Ha Noi,TP.HCM,Female,2000-01-23,Retail,Can Tho - Ninh Kieu,Old customer list,2024-12-05,Nguyen Hong Phuc,0941094840
C0034,BUI ANH TU,0993 667 922,"62 Tran Hung Dao, P.10",Ho Chi Minh,Ha Noi,Male,2016-05-29,VIP,Da Nang - Hai Chau,Partnership,2024-09-20,Bui Anh Tu,0993667922
C0035,Bui Hong An,+84322802275,"30 Nguyen Thi Minh Khai, P.2",Ha Noi,Da Nang,Male,1991-08-15,Mass,HCM - District 1,Branch referral,2024-02-04,Bui Hong An,0322802275
C0036,Hoang Hong Phuc,,"65 Nguyen Trai, P.1",Ha Noi,Hai Phong,Male,1993-10-14,SME,Can Tho - Ninh Kieu,Online form,2024-02-19,Hoang Hong Phuc,
C0037,LE ANH QUYEN,0742948944,"220 Tran Hung Dao, P.5",Can Tho,Can Tho,Female,1985-10-14,VIP,Can Tho - Ninh Kieu,Online form,2024-01-02,Le Anh Quyen,0742948944
C0038,bui van loan,,"93 Pham Van Dong, P.15",Can Tho,TP.HCM,Male,2019-09-22,SME,Can Tho - Ninh Kieu,Branch referral,2024-02-23,Bui Van Loan,
C0039,Hoang Anh Phuc,+84906773042,"243 Le Loi, P.15",Ha Noi,Can Tho,Female,2004-11-11,SME,Da Nang - Hai Chau,Old customer list,2024-09-16,Hoang Anh Phuc,0906773042
C0040,BUI HOAI PHUC,,"69 Nguyen Trai, P.5",Da Nang,Hai Phong,Female,2001-10-22,Retail,Da Nang - Hai Chau,Partnership,2024-07-09,Bui Hoai Phuc,
C0041,BUI MINH LOAN,0873989238,"82 Pham Van Dong, P.15",Can Tho,Can Tho,Male,1983-06-07,VIP,HCM - District 1,Branch referral,2024-02-13,Bui Minh Loan,0873989238
C0042,do minh binh,0709-018-907,"160 Ly Thuong Kiet, P.15",Ho Chi Minh,Da Nang,Female,2010-11-04,SME,Da Nang - Hai Chau,Partnership,2024-07-20,Do Minh Binh,0709018907
C0043,NGUYEN VAN TRANG,0362-209-771,"232 Nguyen Trai, P.1",Da Nang,TP.HCM,Female,2018-11-12,SME,Ha Noi - Hoan Kiem,Old customer list,2024-09-26,Nguyen Van Trang,0362209771
C0044,le hoai quyen,0357 108 629,"119 Cach Mang Thang 8, P.7",Da Nang,TP.HCM,Female,2017-11-17,SME,Can Tho - Ninh Kieu,Branch referral,2024-09-27,Le Hoai Quyen,0357108629
C0045,TRAN ANH LOAN,,"92 Cach Mang Thang 8, P.15",Da Nang,TP.HCM,Female,2008-11-28,SME,HCM - District 1,Partnership,2024-08-02,Tran Anh Loan,
C0046,Nguyen Anh Tu,0963666768,"80 Pham Van Dong, P.1",Hai Phong,Da Nang,Male,2000-08-14,Mass,Ha Noi - Hoan Kiem,Event,2024-07-08,Nguyen Anh Tu,0963666768
C0047,Dang Ngoc Trang,0778-352-199,"206 Le Loi, P.7",Ho Chi Minh,Ha Noi,Male,2001-10-12,VIP,Can Tho - Ninh Kieu,Event,2024-07-31,Dang Ngoc Trang,0778352199
C0048,tran quang an,+84354665891,"7 Nguyen Thi Minh Khai, P.5",Hai Phong,Ha Noi,Male,2006-05-05,VIP,Ha Noi - Hoan Kiem,Old customer list,2024-08-24,Tran Quang An,0354665891
C0049,Tran Ngoc An,+84534081467,"151 Tran Hung Dao, P.7",Ho Chi Minh,Can Tho,Female,1996-05-15,SME,HCM - District 1,Event,2024-02-22,Tran Ngoc An,0534081467
C0050,Pham Anh Phuc,+84980659331,"24 Dien Bien Phu, P.15",Hai Phong,TP.HCM,Male,1996-04-17,SME,HCM - Phu Nhuan,Branch referral,2024-08-04,Pham Anh Phuc,0980659331
C0051,Pham Van Quyen,,"65 Tran Hung Dao, P.1",Ho Chi Minh,Ha Noi,Male,2006-06-16,SME,HCM - Phu Nhuan,Partnership,2024-07-06,Pham Van Quyen,
C0052,vo thi nam,0507 574 751,"243 Nguyen Trai, P.15",Hai Phong,Da Nang,Female,1997-06-08,Mass,HCM - District 1,Old customer list,2024-02-10,Vo Thi Nam,0507574751
C0053,dang quang binh,+84774831165,"153 Nguyen Thi Minh Khai, P.5",Can Tho,Hai Phong,Female,2016-01-20,Mass,HCM - District 1,Partnership,2024-01-15,Dang Quang Binh,0774831165
C0054,Pham Quang Phuc,0848373329,"24 Le Loi, P.1",Can Tho,TP.HCM,Female,2004-11-28,Retail,Can Tho - Ninh Kieu,Online form,2024-03-05,Pham Quang Phuc,0848373329
C0055,DO THANH LOAN,0713678796,"148 Nguyen Thi Minh Khai, P.2",Ha Noi,Can Tho,Male,1997-12-12,Mass,Ha Noi - Hoan Kiem,Partnership,2024-01-09,Do Thanh Loan,0713678796
C0056,VO VAN TU,0724576656,"47 Cach Mang Thang 8, P.15",Da Nang,Da Nang,Female,1988-07-16,Mass,HCM - Phu Nhuan,Branch referral,2024-05-08,Vo Van Tu,0724576656
C0057,DANG VAN NAM,,"22 Nguyen Trai, P.2",Ha Noi,Hai Phong,Male,2009-07-06,Mass,Ha Noi - Hoan Kiem,Old customer list,2024-05-15,Dang Van Nam,
C0058,dang anh phuc,0927 142 646,"102 Nguyen Trai, P.1",Ha Noi,Da Nang,Male,1997-05-21,Retail,Ha Noi - Hoan Kiem,Event,2024-03-03,Dang Anh Phuc,0927142646
C0059,vo van an,+84971375880,"5 Pham Van Dong, P.1",Da Nang,Hai Phong,Female,1984-01-23,VIP,Da Nang - Hai Chau,Event,2024-03-21,Vo Van An,0971375880
C0060,tran quang an,,"21 Ly Thuong Kiet, P.5",Da Nang,Ha Noi,Female,2017-10-11,Retail,HCM - District 1,Partnership,2024-06-11,Tran Quang An,
C0061,Tran Thanh Quyen,0593 788 211,"195 Le Loi, P.2",Can Tho,Can Tho,Female,2017-09-01,SME,Ha Noi - Hoan Kiem,Branch referral,2024-10-15,Tran Thanh Quyen,0593788211
C0062,bui van phuc,0767530403,"166 Le Loi, P.10",Hai Phong,Hai Phong,Female,1992-09-27,VIP,Can Tho - Ninh Kieu,Partnership,2024-09-17,Bui Van Phuc,0767530403
C0063,nguyen anh trang,0365948890,"64 Pham Van Dong, P.7",Hai Phong,Hai Phong,Male,1999-12-03,SME,Ha Noi - Hoan Kiem,Event,2024-08-18,Nguyen Anh Trang,0365948890
C0064,DANG QUANG LOAN,0557 600 627,"86 Le Loi, P.10",Ha Noi,Da Nang,Female,2000-03-06,VIP,HCM - Phu Nhuan,Partnership,2024-01-28,Dang Quang Loan,0557600627
C0065,tran hong quyen,,"93 Nguyen Trai, P.5",Da Nang,Ha Noi,Male,2018-10-07,SME,Da Nang - Hai Chau,Branch referral,2024-07-19,Tran Hong Quyen,
C0066,Pham Ngoc Nam,0527 557 568,"153 Ly Thuong Kiet, P.2",Ha Noi,Ha Noi,Male,2002-09-29,VIP,HCM - District 1,Old customer list,2024-02-02,Pham Ngoc Nam,0527557568
C0067,VO HOAI PHUC,,"113 Pham Van Dong, P.5",Can Tho,Hai Phong,Female,2007-08-15,Retail,HCM - Phu Nhuan,Partnership,2024-03-02,Vo Hoai Phuc,
C0068,LE HONG AN,,"38 Ly Thuong Kiet, P.1",Ha Noi,Can Tho,Female,1990-06-20,Mass,Da Nang - Hai Chau,Online form,2024-04-08,Le Hong An,
C0069,Dang Thanh Loan,0930-230-731,"235 Pham Van Dong, P.15",Ha Noi,Can Tho,Female,2013-01-04,Mass,HCM - District 1,Online form,2024-12-25,Dang Thanh Loan,0930230731
C0070,HOANG HOAI NAM,+84596472126,"17 Le Loi, P.7",Hai Phong,Hai Phong,Male,1996-10-31,Retail,HCM - Phu Nhuan,Event,2024-02-04,Hoang Hoai Nam,0596472126
C0071,Dang Thi Loan,,"6 Ly Thuong Kiet, P.7",Ho Chi Minh,Can Tho,Female,2005-03-12,SME,HCM - District 1,Event,2024-08-14,Dang Thi Loan,
C0072,TRAN MINH TRANG,+84861571336,"162 Tran Hung Dao, P.2",Ho Chi Minh,Can Tho,Male,1993-07-03,SME,HCM - Phu Nhuan,Online form,2024-05-10,Tran Minh Trang,0861571336
C0073,pham thi loan,0759-527-137,"32 Hai Ba Trung, P.7",Can Tho,Can Tho,Female,2003-03-18,SME,HCM - Phu Nhuan,Old customer list,2024-01-05,Pham Thi Loan,0759527137
C0074,bui minh quyen,0787-068-530,"115 Ly Thuong Kiet, P.2",Can Tho,Da Nang,Female,2017-09-20,Mass,Ha Noi - Hoan Kiem,Partnership,2024-09-11,Bui Minh Quyen,0787068530
C0075,Dang Hong An,0864571086,"33 Le Loi, P.2",Da Nang,Da Nang,Female,2001-12-26,Mass,Can Tho - Ninh Kieu,Branch referral,2024-12-24,Dang Hong An,0864571086
C0076,bui minh loan,,"100 Nguyen Thi Minh Khai, P.1",Da Nang,Da Nang,Female,1997-01-17,Retail,Can Tho - Ninh Kieu,Event,2024-07-25,Bui Minh Loan,
C0077,Bui Hoai Binh,0784840683,"141 Nguyen Thi Minh Khai, P.5",Da Nang,Ha Noi,Male,2004-02-17,SME,Can Tho - Ninh Kieu,Branch referral,2024-12-11,Bui Hoai Binh,0784840683
C0078,Tran Hoai Nam,+84770538560,"184 Pham Van Dong, P.10",Can Tho,Can Tho,Male,1985-05-09,Retail,Ha Noi - Hoan Kiem,Online form,2024-06-27,Tran Hoai Nam,0770538560
C0079,bui anh quyen,,"40 Cach Mang Thang 8, P.2",Ha Noi,Da Nang,Male,2003-04-10,SME,Can Tho - Ninh Kieu,Event,2024-08-18,Bui Anh Quyen,
C0080,TRAN HONG TRANG,,"185 Hai Ba Trung, P.10",Ho Chi Minh,TP.HCM,Male,1996-12-30,Mass,Can Tho - Ninh Kieu,Event,2024-02-21,Tran Hong Trang,
C0081,pham quang an,0985 632 844,"113 Ly Thuong Kiet, P.7",Can Tho,Ha Noi,Female,1999-06-21,Retail,Ha Noi - Hoan Kiem,Event,2024-04-05,Pham Quang An,0985632844
C0082,vo quang nam,+84551214109,"64 Tran Hung Dao, P.5",Hai Phong,Da Nang,Male,2003-09-23,Retail,Da Nang - Hai Chau,Partnership,2024-08-09,Vo Quang Nam,0551214109
C0083,bui anh tu,0809-592-304,"138 Nguyen Trai, P.1",Can Tho,Ha Noi,Female,2001-11-10,SME,Da Nang - Hai Chau,Event,2024-08-18,Bui Anh Tu,0809592304
C0084,NGUYEN QUANG AN,0553234586,"33 Le Loi, P.7",Da Nang,Da Nang,Female,1991-11-13,Retail,HCM - Phu Nhuan,Partnership,2024-05-22,Nguyen Quang An,0553234586
C0085,Do Quang Quyen,0501-344-653,"42 Ly Thuong Kiet, P.10",Da Nang,Hai Phong,Female,1985-11-21,VIP,Can Tho - Ninh Kieu,Event,2024-01-29,Do Quang Quyen,0501344653
C0086,bui thi loan,,"59 Nguyen Trai, P.10",Can Tho,Ha Noi,Female,2019-11-15,Retail,HCM - Phu Nhuan,Online form,2024-01-13,Bui Thi Loan,
C0087,tran hoai an,0931 647 987,"133 Dien Bien Phu, P.10",Da Nang,Can Tho,Female,2010-02-18,SME,HCM - Phu Nhuan,Old customer list,2024-11-22,Tran Hoai An,0931647987
C0088,do minh quyen,0768 682 492,"242 Cach Mang Thang 8, P.5",Ha Noi,Can Tho,Female,1991-08-20,VIP,Ha Noi - Hoan Kiem,Partnership,2024-08-30,Do Minh Quyen,0768682492
C0089,HOANG HONG BINH,0963-989-822,"237 Pham Van Dong, P.15",Da Nang,Can Tho,Male,2012-08-09,Retail,Can Tho - Ninh Kieu,Event,2024-10-10,Hoang Hong Binh,0963989822
C0090,Do Hong Nam,0865265604,"175 Tran Hung Dao, P.1",Hai Phong,Ha Noi,Female,2009-10-16,VIP,Da Nang - Hai Chau,Branch referral,2024-06-18,Do Hong Nam,0865265604
C0091,HOANG MINH TU,0807 627 809,"240 Nguyen Trai, P.7",Can Tho,Ha Noi,Female,2018-10-23,Mass,HCM - District 1,Event,2024-05-13,Hoang Minh Tu,0807627809
C0092,tran minh tu,+84395498411,"166 Cach Mang Thang 8, P.15",Ha Noi,TP.HCM,Female,1992-12-02,SME,Can Tho - Ninh Kieu,Branch referral,2024-01-28,Tran Minh Tu,0395498411
C0093,LE QUANG KHANH,0834-094-903,"245 Hai Ba Trung, P.5",Hai Phong,Hai Phong,Male,2010-11-04,SME,Ha Noi - Hoan Kiem,Branch referral,2024-12-05,Le Quang Khanh,0834094903
C0094,nguyen van phuc,,"57 Dien Bien Phu, P.2",Can Tho,Ha Noi,Female,1987-07-18,SME,Da Nang - Hai Chau,Partnership,2024-11-26,Nguyen Van Phuc,
C0095,Bui Thanh Trang,,"52 Nguyen Thi Minh Khai, P.2",Ha Noi,Da Nang,Female,1998-04-20,Mass,HCM - Phu Nhuan,Partnership,2024-12-13,Bui Thanh Trang,
C0096,bui van quyen,0884-540-487,"210 Nguyen Trai, P.15",Ha Noi,Hai Phong,Male,2011-07-18,Mass,Da Nang - Hai Chau,Event,2024-08-18,Bui Van Quyen,0884540487
C0097,Tran Thanh An,+84794211679,"115 Ly Thuong Kiet, P.7",Ho Chi Minh,Hai Phong,Male,1986-07-26,SME,HCM - District 1,Branch referral,2024-08-12,Tran Thanh An,0794211679
C0098,Do Quang Quyen,0372 002 655,"118 Hai Ba Trung, P.2",Da Nang,Ha Noi,Male,2012-09-28,Mass,Da Nang - Hai Chau,Partnership,2024-04-30,Do Quang Quyen,0372002655
C0099,Nguyen Hoai Trang,0310570742,"36 Nguyen Thi Minh Khai, P.5",Ha Noi,Hai Phong,Female,2008-12-05,SME,HCM - Phu Nhuan,Event,2024-08-20,Nguyen Hoai Trang,0310570742
C0100,le thanh trang,+84730989644,"202 Nguyen Thi Minh Khai, P.5",Can Tho,Can Tho,Male,2007-05-12,SME,Da Nang - Hai Chau,Branch referral,2024-12-24,Le Thanh Trang,0730989644
C0101,Do Anh Trang,0337-895-951,"53 Hai Ba Trung, P.15",Ho Chi Minh,Can Tho,Female,1995-01-27,Mass,Can Tho - Ninh Kieu,Branch referral,2024-05-16,Do Anh Trang,0337895951
C0102,NGUYEN HONG KHANH,0760-085-622,"245 Nguyen Trai, P.2",Ha Noi,TP.HCM,Female,2018-07-03,Retail,Can Tho - Ninh Kieu,Branch referral,2024-06-13,Nguyen Hong Khanh,0760085622
C0103,dang hoai quyen,0873-532-540,"235 Dien Bien Phu, P.5",Da Nang,Can Tho,Male,1988-06-17,Retail,HCM - Phu Nhuan,Online form,2024-05-31,Dang Hoai Quyen,0873532540
C0104,hoang thanh khanh,+84813384662,"118 Tran Hung Dao, P.15",Da Nang,Ha Noi,Male,2014-11-07,VIP,HCM - Phu Nhuan,Partnership,2024-11-10,Hoang Thanh Khanh,0813384662
C0105,Nguyen Thanh An,+84596748270,"96 Nguyen Trai, P.10",Hai Phong,Can Tho,Female,1987-01-31,Mass,HCM - District 1,Partnership,2024-06-08,Nguyen Thanh An,0596748270
C0106,Do Quang An,0952908689,"135 Tran Hung Dao, P.2",Ha Noi,Hai Phong,Female,1993-04-17,SME,Ha Noi - Hoan Kiem,Old customer list,2024-08-20,Do Quang An,0952908689
C0107,tran minh khanh,+84959268687,"98 Ly Thuong Kiet, P.10",Can Tho,TP.HCM,Male,1988-01-24,Retail,HCM - District 1,Old customer list,2024-04-22,Tran Minh Khanh,0959268687
C0108,DANG MINH BINH,,"145 Nguyen Trai, P.2",Da Nang,TP.HCM,Male,1986-07-11,Retail,Da Nang - Hai Chau,Online form,2024-02-21,Dang Minh Binh,
C0109,HOANG NGOC TRANG,0583-837-197,"14 Le Loi, P.7",Ha Noi,TP.HCM,Female,2014-11-19,VIP,Ha Noi - Hoan Kiem,Online form,2024-10-21,Hoang Ngoc Trang,0583837197
C0110,Hoang Anh Phuc,0939466067,"69 Tran Hung Dao, P.7",Ha Noi,Can Tho,Female,1987-06-21,SME,HCM - District 1,Online form,2024-04-22,Hoang Anh Phuc,0939466067
C0111,nguyen hong phuc,0571045510,"153 Hai Ba Trung, P.7",Ho Chi Minh,Da Nang,Female,2013-08-18,VIP,HCM - District 1,Partnership,2024-04-22,Nguyen Hong Phuc,0571045510
C0112,PHAM THANH NAM,0931-340-444,"65 Dien Bien Phu, P.15",Can Tho,Hai Phong,Male,1984-11-25,VIP,HCM - District 1,Branch referral,2024-03-21,Pham Thanh Nam,0931340444
C0113,hoang thi khanh,0783-844-865,"155 Dien Bien Phu, P.7",Da Nang,Ha Noi,Female,2016-08-20,SME,Ha Noi - Hoan Kiem,Old customer list,2024-04-22,Hoang Thi Khanh,0783844865
C0114,pham minh khanh,0883 155 565,"113 Cach Mang Thang 8, P.15",Ho Chi Minh,Can Tho,Female,1985-04-30,Retail,Ha Noi - Hoan Kiem,Branch referral,2024-05-09,Pham Minh Khanh,0883155565
C0115,hoang ngoc khanh,,"153 Le Loi, P.1",Ha Noi,Da Nang,Male,2003-03-25,Mass,Can Tho - Ninh Kieu,Old customer list,2024-08-11,Hoang Ngoc Khanh,
C0116,Vo Quang Binh,,"39 Hai Ba Trung, P.1",Can Tho,TP.HCM,Female,1997-05-12,VIP,HCM - District 1,Online form,2024-05-05,Vo Quang Binh,
C0117,le minh tu,0942444633,"218 Hai Ba Trung, P.15",Ho Chi Minh,Ha Noi,Male,1987-08-31,Retail,Can Tho - Ninh Kieu,Branch referral,2024-02-22,Le Minh Tu,0942444633
C0118,vo thanh khanh,+84524164061,"100 Nguyen Trai, P.15",Ha Noi,Ha Noi,Female,1998-11-05,Mass,Can Tho - Ninh Kieu,Online form,2024-08-05,Vo Thanh Khanh,0524164061
C0119,do ngoc loan,0911-649-333,"91 Pham Van Dong, P.10",Ha Noi,Da Nang,Male,1998-02-22,Retail,Ha Noi - Hoan Kiem,Online form,2024-07-16,Do Ngoc Loan,0911649333
C0120,Pham Hong Binh,,"43 Pham Van Dong, P.5",Ha Noi,Ha Noi,Female,1996-06-28,VIP,Can Tho - Ninh Kieu,Online form,2024-09-03,Pham Hong Binh,
C0121,Vo Thi Phuc,0313564474,"145 Nguyen Trai, P.2",Da Nang,TP.HCM,Female,2014-05-01,Retail,Can Tho - Ninh Kieu,Event,2024-07-21,Vo Thi Phuc,0313564474
C0122,LE ANH PHUC,,"56 Ly Thuong Kiet, P.1",Ha Noi,Da Nang,Male,2017-09-23,VIP,Ha Noi - Hoan Kiem,Event,2024-05-02,Le Anh Phuc,
C0123,Tran Anh Binh,0327686467,"146 Hai Ba Trung, P.10",Da Nang,Hai Phong,Male,1995-01-03,SME,Ha Noi - Hoan Kiem,Event,2024-09-11,Tran Anh Binh,0327686467
C0124,Hoang Thanh Binh,0797 998 182,"195 Ly Thuong Kiet, P.7",Ha Noi,Hai Phong,Female,2004-11-26,VIP,Da Nang - Hai Chau,Old customer list,2024-10-06,Hoang Thanh Binh,0797998182
C0125,TRAN VAN KHANH,+84976844588,"163 Hai Ba Trung, P.1",Hai Phong,Can Tho,Male,1983-07-13,VIP,HCM - Phu Nhuan,Old customer list,2024-04-07,Tran Van Khanh,0976844588
C0126,hoang minh tu,0851878706,"32 Tran Hung Dao, P.7",Can Tho,TP.HCM,Female,2000-03-15,Retail,HCM - Phu Nhuan,Event,2024-08-27,Hoang Minh Tu,0851878706
C0127,LE HONG BINH,0830660677,"181 Le Loi, P.1",Ha Noi,Can Tho,Male,2014-05-18,Retail,Can Tho - Ninh Kieu,Branch referral,2024-04-06,Le Hong Binh,0830660677
C0128,Do Anh An,0968941037,"81 Hai Ba Trung, P.5",Ha Noi,Can Tho,Male,1994-09-18,Retail,HCM - District 1,Partnership,2024-05-03,Do Anh An,0968941037
C0129,nguyen ngoc phuc,,"187 Ly Thuong Kiet, P.5",Can Tho,Da Nang,Male,1989-11-12,Retail,Ha Noi - Hoan Kiem,Online form,2024-11-21,Nguyen Ngoc Phuc,
C0130,PHAM THANH TU,+84308826136,"99 Le Loi, P.2",Can Tho,Hai Phong,Male,2010-05-01,Mass,Ha Noi - Hoan Kiem,Event,2024-12-14,Pham Thanh Tu,0308826136
C0131,le quang khanh,+84951490502,"130 Cach Mang Thang 8, P.15",Hai Phong,Can Tho,Female,1990-09-08,VIP,HCM - District 1,Partnership,2024-05-27,Le Quang Khanh,0951490502
C0132,Do Ngoc Tu,0935-285-368,"179 Ly Thuong Kiet, P.15",Ha Noi,TP.HCM,Male,1988-06-05,Mass,Da Nang - Hai Chau,Online form,2024-12-11,Do Ngoc Tu,0935285368
C0133,BUI THI TU,0777 177 195,"96 Tran Hung Dao, P.15",Da Nang,TP.HCM,Male,2014-03-26,SME,Da Nang - Hai Chau,Event,2024-05-26,Bui Thi Tu,0777177195
C0134,DO VAN TU,,"173 Le Loi, P.2",Hai Phong,TP.HCM,Male,1987-09-27,Mass,HCM - Phu Nhuan,Online form,2024-12-17,Do Van Tu,
C0135,Bui Minh Khanh,0719-087-622,"212 Le Loi, P.10",Da Nang,TP.HCM,Male,2006-10-03,Retail,HCM - Phu Nhuan,Partnership,2024-11-03,Bui Minh Khanh,0719087622
