call_id,customer_id,call_date,call_time,agent_id,call_duration_sec,call_result,sentiment,product_pitched,notes,call_duration_min,full_name,phone_raw,address_raw,city,province,gender,dob,segment,branch,source_campaign,created_date,full_name_clean,phone_clean
CL00011,C0009,2024-12-15,10:54,AG04,44,Call Back Later,,Savings Account,Customer asked to be called again next week.,0.7333333333333333,Do Ngoc Phuc,0978104447,"104 Hai Ba Trung, P.1",Ha Noi,Ha Noi,Male,2005-10-10,VIP,HCM - Phu Nhuan,Old customer list,2024-05-31,Do Ngoc Phuc,0978104447
CL00012,C0009,2024-05-23,09:59,AG06,125,Registered Product,Positive,Term Deposit,Customer agreed to open product.,2.0833333333333335,Do Ngoc Phuc,0978104447,"104 Hai Ba Trung, P.1",Ha Noi,Ha Noi,Male,2005-10-10,VIP,HCM - Phu Nhuan,Old customer list,2024-05-31,Do Ngoc Phuc,0978104447
CL00013,C0009,2024-05-26,08:55,AG04,23,Busy,,Savings Account,,0.38333333333333336,Do Ngoc Phuc,0978104447,"104 Hai Ba Trung, P.1",Ha Noi,Ha Noi,Male,2005-10-10,VIP,HCM - Phu Nhuan,Old customer list,2024-05-31,Do Ngoc Phuc,0978104447
CL00014,C0010,2024-12-11,12:25,AG06,136,Connected - Not Interested,Negative,Personal Loan,Customer refused politely.,2.2666666666666666,Le Hong Phuc,0980 880 650,"43 Ly Thuong Kiet, P.7",Can Tho,Ha Noi,Female,1985-02-04,Mass,HCM - Phu Nhuan,Old customer list,2024-05-29,Le Hong Phuc,0980880650
CL00015,C0011,2024-05-06,16:11,AG02,77,Connected - Not Interested,Positive,Credit Card,Customer refused politely.,1.2833333333333334,nguyen quang tu,,"189 Nguyen Thi Minh Khai, P.1",Da Nang,TP.HCM,Male,2002-01-06,VIP,Can Tho - Ninh Kieu,Partnership,2024-12-09,Nguyen Quang Tu,
CL00016,C0011,2024-01-01,09:31,AG01,58,Wrong Number,,Credit Card,Phone number incorrect.,0.9666666666666667,nguyen quang tu,,"189 Nguyen Thi Minh Khai, P.1",Da Nang,TP.HCM,Male,2002-01-06,VIP,Can Tho - Ninh Kieu,Partnership,2024-12-09,Nguyen Quang Tu,
CL00017,C0012,2024-08-24,12:00,AG05,20,Call Back Later,,Savings Account,Customer asked to be called again next week.,0.3333333333333333,Le Thi Quyen,,"21 Ly Thuong Kiet, P.15",Hai Phong,Hai Phong,Female,1996-10-26,SME,HCM - Phu Nhuan,Event,2024-07-10,Le Thi Quyen,
CL00018,C0012,2024-07-10,12:21,AG07,33,No Answer,,Credit Card,,0.55,Le Thi Quyen,,"21 Ly Thuong Kiet, P.15",Hai Phong,Hai Phong,Female,1996-10-26,SME,HCM - Phu Nhuan,Event,2024-07-10,Le Thi Quyen,
CL00019,C0012,2024-03-16,17:15,AG05,55,Call Back Later,,Savings Account,Customer asked to be called again next week.,0.9166666666666666,Le Thi Quyen,,"21 Ly Thuong Kiet, P.15",Hai Phong,Hai Phong,Female,1996-10-26,SME,HCM - Phu Nhuan,Event,2024-07-10,Le Thi Quyen,
CL00020,C0013,2024-07-03,19:04,AG01,66,Connected - Not Interested,Positive,Personal Loan,Customer refused politely.,1.1,Pham Hong Khanh,,"55 Nguyen Thi Minh Khai, P.5",Ha Noi,Da Nang,Male,1986-03-26,Retail,Ha Noi - Hoan Kiem,Event,2024-10-03,Pham Hong Khanh,
CL00021,C0014,2024-08-25,11:04,AG02,223,Registered Product,Neutral,Personal Loan,Customer agreed to open product.,3.716666666666667,LE ANH QUYEN,0339-856-591,"30 Le Loi, P.15",Hai Phong,Ha Noi,Female,2016-09-09,SME,Can Tho - Ninh Kieu,Branch referral,2024-11-09,Le Anh Quyen,0339856591
CL00022,C0015,2024-12-06,14:35,AG06,37,Call Back Later,,Term Deposit,Customer asked to be called again next week.,0.6166666666666667,VO HOAI TU,0749 804 207,"190 Pham Van Dong, P.10",Can Tho,Hai Phong,Male,2018-09-05,Mass,HCM - District 1,Branch referral,2024-09-09,Vo Hoai Tu,0749804207
CL00023,C0016,2024-12-22,14:57,AG06,14,Busy,,Credit Card,,0.23333333333333334,DO THI LOAN,0354039903,"91 Nguyen Thi Minh Khai, P.7",Hai Phong,Ha Noi,Male,2006-09-19,Retail,HCM - Phu Nhuan,Old customer list,2024-12-10,Do Thi Loan,0354039903
CL00024,C0018,2024-10-16,11:30,AG02,14,Wrong Number,,Savings Account,Phone number incorrect.,0.23333333333333334,vo hong binh,0535-683-082,"10 Le Loi, P.10",Can Tho,Da Nang,Female,1988-08-05,VIP,Can Tho - Ninh Kieu,Partnership,2024-06-18,Vo Hong Binh,0535683082
CL00025,C0018,2024-05-26,17:31,AG05,5,Call Back Later,,Savings Account,Customer asked to be called again next week.,0.08333333333333333,vo hong binh,0535-683-082,"10 Le Loi, P.10",Can Tho,Da Nang,Female,1988-08-05,VIP,Can Tho - Ninh Kieu,Partnership,2024-06-18,Vo Hong Binh,0535683082
CL00026,C0018,2024-01-04,15:15,AG01,277,Connected - Interested,Negative,Personal Loan,,4.616666666666666,vo hong binh,0535-683-082,"10 Le Loi, P.10",Can Tho,Da Nang,Female,1988-08-05,VIP,Can Tho - Ninh Kieu,Partnership,2024-06-18,Vo Hong Binh,0535683082
CL00027,C0019,2024-06-08,18:19,AG04,28,Call Back Later,,Personal Loan,Customer asked to be called again next week.,0.4666666666666667,tran quang trang,0804586971,"243 Hai Ba Trung, P.10",Da Nang,TP.HCM,Female,2008-02-02,SME,Da Nang - Hai Chau,Event,2024-07-06,Tran Quang Trang,0804586971
CL00028,C0019,2024-06-26,10:59,AG01,37,No Answer,,Personal Loan,,0.6166666666666667,tran quang trang,0804586971,"243 Hai Ba Trung, P.10",Da Nang,TP.HCM,Female,2008-02-02,SME,Da Nang - Hai Chau,Event,2024-07-06,Tran Quang Trang,0804586971
CL00029,C0019,2024-06-27,18:36,AG03,287,Connected - Not Interested,Negative,Credit Card,Customer refused politely.,4.783333333333333,tran quang trang,0804586971,"243 Hai Ba Trung, P.10",Da Nang,TP.HCM,Female,2008-02-02,SME,Da Nang - Hai Chau,Event,2024-07-06,Tran Quang Trang,0804586971
CL00030,C0022,2024-11-25,18:43,AG05,33,Busy,,Term Deposit,,0.55,pham quang phuc,+84526077141,"13 Nguyen Thi Minh Khai, P.2",Ho Chi Minh,Can Tho,Male,1988-03-10,VIP,Can Tho - Ninh Kieu,Partnership,2024-02-20,Pham Quang Phuc,0526077141
CL00031,C0022,2024-01-12,09:50,AG03,54,Wrong Number,,Savings Account,Phone number incorrect.,0.9,pham quang phuc,+84526077141,"13 Nguyen Thi Minh Khai, P.2",Ho Chi Minh,Can Tho,Male,1988-03-10,VIP,Can Tho - Ninh Kieu,Partnership,2024-02-20,Pham Quang Phuc,0526077141
CL00032,C0022,2024-08-02,08:25,AG05,12,No Answer,,Credit Card,,0.2,pham quang phuc,+84526077141,"13 Nguyen Thi Minh Khai, P.2",Ho Chi Minh,Can Tho,Male,1988-03-10,VIP,Can Tho - Ninh Kieu,Partnership,2024-02-20,Pham Quang Phuc,0526077141
CL00033,C0023,2024-03-30,09:50,AG07,45,Busy,,Savings Account,,0.75,vo anh quyen,+84585874226,"161 Dien Bien Phu, P.5",Can Tho,TP.HCM,Female,1986-06-17,Retail,Ha Noi - Hoan Kiem,Event,2024-02-24,Vo Anh Quyen,0585874226
CL00034,C0024,2024-11-09,12:49,AG03,49,Wrong Number,,Savings Account,Phone number incorrect.,0.8166666666666667,Vo Thanh Binh,+84813124340,"232 Nguyen Trai, P.10",Can Tho,Can Tho,Male,1987-03-05,SME,Ha Noi - Hoan Kiem,Old customer list,2024-11-15,Vo Thanh Binh,0813124340
CL00035,C0024,2024-08-04,12:56,AG02,40,Wrong Number,,Personal Loan,Phone number incorrect.,0.6666666666666666,Vo Thanh Binh,+84813124340,"232 Nguyen Trai, P.10",Can Tho,Can Tho,Male,1987-03-05,SME,Ha Noi - Hoan Kiem,Old customer list,2024-11-15,Vo Thanh Binh,0813124340
CL00036,C0024,2024-12-22,16:23,AG01,39,No Answer,,Savings Account,,0.65,Vo Thanh Binh,+84813124340,"232 Nguyen Trai, P.10",Can Tho,Can Tho,Male,1987-03-05,SME,Ha Noi - Hoan Kiem,Old customer list,2024-11-15,Vo Thanh Binh,0813124340
CL00037,C0025,2024-02-05,09:48,AG07,115,Registered Product,Negative,Personal Loan,Customer agreed to open product.,1.9166666666666667,DANG THANH QUYEN,0884 243 677,"160 Nguyen Thi Minh Khai, P.1",Can Tho,Hai Phong,Male,1992-09-22,Mass,Da Nang - Hai Chau,Branch referral,2024-05-10,Dang Thanh Quyen,0884243677
CL00038,C0025,2024-07-08,12:11,AG07,53,Wrong Number,,Personal Loan,Phone number incorrect.,0.8833333333333333,DANG THANH QUYEN,0884 243 677,"160 Nguyen Thi Minh Khai, P.1",Can Tho,Hai Phong,Male,1992-09-22,Mass,Da Nang - Hai Chau,Branch referral,2024-05-10,Dang Thanh Quyen,0884243677
CL00039,C0027,2024-08-04,10:40,AG01,34,Call Back Later,,Term Deposit,Customer asked to be called again next week.,0.5666666666666667,Pham Thi Nam,0916 526 716,"247 Cach Mang Thang 8, P.1",Hai Phong,TP.HCM,Female,2013-04-29,VIP,Da Nang - Hai Chau,Branch referral,2024-01-21,Pham Thi Nam,0916526716
CL00040,C0027,2024-03-02,11:47,AG06,29,Busy,,Term Deposit,,0.48333333333333334,Pham Thi Nam,0916 526 716,"247 Cach Mang Thang 8, P.1",Hai Phong,TP.HCM,Female,2013-04-29,VIP,Da Nang - Hai Chau,Branch referral,2024-01-21,Pham Thi Nam,0916526716
CL00041,C0029,2024-01-19,08:35,AG05,415,Registered Product,Positive,Personal Loan,Customer agreed to open product.,6.916666666666667,LE QUANG NAM,0756 697 485,"213 Le Loi, P.5",Can Tho,Ha Noi,Female,2011-11-21,VIP,Ha Noi - Hoan Kiem,Online form,2024-03-29,Le Quang Nam,0756697485
CL00042,C0029,2024-08-20,10:11,AG07,284,Registered Product,Neutral,Term Deposit,Customer agreed to open product.,4.733333333333333,LE QUANG NAM,0756 697 485,"213 Le Loi, P.5",Can Tho,Ha Noi,Female,2011-11-21,VIP,Ha Noi - Hoan Kiem,Online form,2024-03-29,Le Quang Nam,0756697485
CL00043,C0030,2024-07-24,11:18,AG05,51,Wrong Number,,Savings Account,Phone number incorrect.,0.85,bui minh nam,0927 387 209,"185 Ly Thuong Kiet, P.7",Hai Phong,Ha Noi,Female,2006-01-29,VIP,Da Nang - Hai Chau,Online form,2024-01-14,Bui Minh Nam,0927387209
CL00044,C0030,2024-03-09,10:11,AG04,29,Busy,,Savings Account,,0.48333333333333334,bui minh nam,0927 387 209,"185 Ly Thuong Kiet, P.7",Hai Phong,Ha Noi,Female,2006-01-29,VIP,Da Nang - Hai Chau,Online form,2024-01-14,Bui Minh Nam,0927387209
CL00045,C0030,2024-02-22,14:15,AG05,43,No Answer,,Savings Account,,0.7166666666666667,bui minh nam,0927 387 209,"185 Ly Thuong Kiet, P.7",Hai Phong,Ha Noi,Female,2006-01-29,VIP,Da Nang - Hai Chau,Online form,2024-01-14,Bui Minh Nam,0927387209
CL00046,C0032,2024-07-04,14:13,AG02,35,Busy,,Credit Card,,0.5833333333333334,pham hoai phuc,,"33 Cach Mang Thang 8, P.1",Ho Chi Minh,Hai Phong,Female,2002-04-08,Retail,Da Nang - Hai Chau,Online form,2024-02-22,Pham Hoai Phuc,
CL00047,C0034,2024-08-02,18:10,AG07,22,Call Back Later,,Credit Card,Customer asked to be called again next week.,0.36666666666666664,BUI ANH TU,0993 667 922,"62 Tran Hung Dao, P.10",Ho Chi Minh,Ha Noi,Male,2016-05-29,VIP,Da Nang - Hai Chau,Partnership,2024-09-20,Bui Anh Tu,0993667922
CL00048,C0034,2024-03-16,16:09,AG01,511,Registered Product,Neutral,Term Deposit,Customer agreed to open product.,8.516666666666667,BUI ANH TU,0993 667 922,"62 Tran Hung Dao, P.10",Ho Chi Minh,Ha Noi,Male,2016-05-29,VIP,Da Nang - Hai Chau,Partnership,2024-09-20,Bui Anh Tu,0993667922
CL00049,C0036,2024-01-07,15:41,AG02,13,No Answer,,Savings Account,,0.21666666666666667,Hoang Hong Phuc,,"65 Nguyen Trai, P.1",Ha Noi,Hai Phong,Male,1993-10-14,SME,Can Tho - Ninh Kieu,Online form,2024-02-19,Hoang Hong Phuc,
CL00050,C0037,2024-05-01,09:04,AG05,33,Call Back Later,,Personal Loan,Customer asked to be called again next week.,0.55,LE ANH QUYEN,0742948944,"220 Tran Hung Dao, P.5",Can Tho,Can Tho,Female,1985-10-14,VIP,Can Tho - Ninh Kieu,Online form,2024-01-02,Le Anh Quyen,0742948944
CL00051,C0037,2024-12-04,15:47,AG01,384,Connected - Not Interested,Neutral,Savings Account,Customer refused politely.,6.4,LE ANH QUYEN,0742948944,"220 Tran Hung Dao, P.5",Can Tho,Can Tho,Female,1985-10-14,VIP,Can Tho - Ninh Kieu,Online form,2024-01-02,Le Anh Quyen,0742948944
CL00052,C0038,2024-05-24,14:24,AG04,49,Busy,,Personal Loan,,0.8166666666666667,bui van loan,,"93 Pham Van Dong, P.15",Can Tho,TP.HCM,Male,2019-09-22,SME,Can Tho - Ninh Kieu,Branch referral,2024-02-23,Bui Van Loan,
CL00053,C0039,2024-03-10,19:30,AG04,464,Connected - Interested,Negative,Credit Card,,7.733333333333333,Hoang Anh Phuc,+84906773042,"243 Le Loi, P.15",Ha Noi,Can Tho,Female,2004-11-11,SME,Da Nang - Hai Chau,Old customer list,2024-09-16,Hoang Anh Phuc,0906773042
CL00054,C0039,2024-06-30,14:26,AG02,14,Busy,,Personal Loan,,0.23333333333333334,Hoang Anh Phuc,+84906773042,"243 Le Loi, P.15",Ha Noi,Can Tho,Female,2004-11-11,SME,Da Nang - Hai Chau,Old customer list,2024-09-16,Hoang Anh Phuc,0906773042
CL00055,C0039,2024-01-19,14:02,AG05,49,No Answer,,Credit Card,,0.8166666666666667,Hoang Anh Phuc,+84906773042,"243 Le Loi, P.15",Ha Noi,Can Tho,Female,2004-11-11,SME,Da Nang - Hai Chau,Old customer list,2024-09-16,Hoang Anh Phuc,0906773042
CL00056,C0040,2024-08-07,17:19,AG05,32,Wrong Number,,Personal Loan,Phone number incorrect.,0.5333333333333333,BUI HOAI PHUC,,"69 Nguyen Trai, P.5",Da Nang,Hai Phong,Female,2001-10-22,Retail,Da Nang - Hai Chau,Partnership,2024-07-09,Bui Hoai Phuc,
CL00057,C0041,2024-12-26,14:00,AG05,406,Connected - Not Interested,Negative,Credit Card,Customer refused politely.,6.766666666666667,BUI MINH LOAN,0873989238,"82 Pham Van Dong, P.15",Can Tho,Can Tho,Male,1983-06-07,VIP,HCM - District 1,Branch referral,2024-02-13,Bui Minh Loan,0873989238
CL00058,C0041,2024-12-13,16:59,AG01,53,Busy,,Credit Card,,0.8833333333333333,BUI MINH LOAN,0873989238,"82 Pham Van Dong, P.15",Can Tho,Can Tho,Male,1983-06-07,VIP,HCM - District 1,Branch referral,2024-02-13,Bui Minh Loan,0873989238
CL00059,C0042,2024-04-26,13:57,AG05,575,Connected - Not Interested,Negative,Credit Card,Customer refused politely.,9.583333333333334,do minh binh,0709-018-907,"160 Ly Thuong Kiet, P.15",Ho Chi Minh,Da Nang,Female,2010-11-04,SME,Da Nang - Hai Chau,Partnership,2024-07-20,Do Minh Binh,0709018907
CL00060,C0042,2024-06-08,12:15,AG03,232,Registered Product,Neutral,Credit Card,Customer agreed to open product.,3.8666666666666667,do minh binh,0709-018-907,"160 Ly Thuong Kiet, P.15",Ho Chi Minh,Da Nang,Female,2010-11-04,SME,Da Nang - Hai Chau,Partnership,2024-07-20,Do Minh Binh,0709018907
CL00061,C0042,2024-09-08,12:35,AG03,246,Connected - Not Interested,Positive,Credit Card,Customer refused politely.,4.1,do minh binh,0709-018-907,"160 Ly Thuong Kiet, P.15",Ho Chi Minh,Da Nang,Female,2010-11-04,SME,Da Nang - Hai Chau,Partnership,2024-07-20,Do Minh Binh,0709018907
CL00062,C0043,2024-02-16,16:48,AG07,545,Registered Product,Negative,Personal Loan,Customer agreed to open product.,9.083333333333334,NGUYEN VAN TRANG,0362-209-771,"232 Nguyen Trai, P.1",Da Nang,TP.HCM,Female,2018-11-12,SME,Ha Noi - Hoan Kiem,Old customer list,2024-09-26,Nguyen Van Trang,0362209771
CL00063,C0043,2024-01-01,12:53,AG07,278,Connected - Not Interested,Positive,Savings Account,Customer refused politely.,4.633333333333334,NGUYEN VAN TRANG,0362-209-771,"232 Nguyen Trai, P.1",Da Nang,TP.HCM,Female,2018-11-12,SME,Ha Noi - Hoan Kiem,Old customer list,2024-09-26,Nguyen Van Trang,0362209771
CL00064,C0043,2024-01-12,17:31,AG04,377,Connected - Interested,Negative,Term Deposit,,6.283333333333333,NGUYEN VAN TRANG,0362-209-771,"232 Nguyen Trai, P.1",Da Nang,TP.HCM,Female,2018-11-12,SME,Ha Noi - Hoan Kiem,Old customer list,2024-09-26,Nguyen Van Trang,0362209771
CL00065,C0044,2024-06-04,12:07,AG04,32,Wrong Number,,Savings Account,Phone number incorrect.,0.5333333333333333,le hoai quyen,0357 108 629,"119 Cach Mang Thang 8, P.7",Da Nang,TP.HCM,Female,2017-11-17,SME,Can Tho - Ninh Kieu,Branch referral,2024-09-27,Le Hoai Quyen,0357108629
CL00066,C0044,2024-03-30,15:57,AG02,335,Registered Product,Negative,Savings Account,Customer agreed to open product.,5.583333333333333,le hoai quyen,0357 108 629,"119 Cach Mang Thang 8, P.7",Da Nang,TP.HCM,Female,2017-11-17,SME,Can Tho - Ninh Kieu,Branch referral,2024-09-27,Le Hoai Quyen,0357108629
CL00067,C0044,2024-01-28,19:36,AG04,60,Registered Product,Neutral,Personal Loan,Customer agreed to open product.,1.0,le hoai quyen,0357 108 629,"119 Cach Mang Thang 8, P.7",Da Nang,TP.HCM,Female,2017-11-17,SME,Can Tho - Ninh Kieu,Branch referral,2024-09-27,Le Hoai Quyen,0357108629
CL00068,C0045,2024-05-24,16:32,AG04,57,Wrong Number,,Personal Loan,Phone number incorrect.,0.95,TRAN ANH LOAN,,"92 Cach Mang Thang 8, P.15",Da Nang,TP.HCM,Female,2008-11-28,SME,HCM - District 1,Partnership,2024-08-02,Tran Anh Loan,
CL00069,C0045,2024-08-07,10:05,AG03,22,Busy,,Personal Loan,,0.36666666666666664,TRAN ANH LOAN,,"92 Cach Mang Thang 8, P.15",Da Nang,TP.HCM,Female,2008-11-28,SME,HCM - District 1,Partnership,2024-08-02,Tran Anh Loan,
CL00070,C0045,2024-09-12,12:46,AG02,29,Busy,,Credit Card,,0.48333333333333334,TRAN ANH LOAN,,"92 Cach Mang Thang 8, P.15",Da Nang,TP.HCM,Female,2008-11-28,SME,HCM - District 1,Partnership,2024-08-02,Tran Anh Loan,
CL00071,C0046,2024-11-07,09:58,AG07,24,Registered Product,Negative,Personal Loan,Customer agreed to open product.,0.4,Nguyen Anh Tu,0963666768,"80 Pham Van Dong, P.1",Hai Phong,Da Nang,Male,2000-08-14,Mass,Ha Noi - Hoan Kiem,Event,2024-07-08,Nguyen Anh Tu,0963666768
CL00072,C0047,2024-10-15,13:00,AG07,22,Busy,,Credit Card,,0.36666666666666664,Dang Ngoc Trang,0778-352-199,"206 Le Loi, P.7",Ho Chi Minh,Ha Noi,Male,2001-10-12,VIP,Can Tho - Ninh Kieu,Event,2024-07-31,Dang Ngoc Trang,0778352199
CL00073,C0047,2024-06-25,18:20,AG07,301,Registered Product,Negative,Credit Card,Customer agreed to open product.,5.016666666666667,Dang Ngoc Trang,0778-352-199,"206 Le Loi, P.7",Ho Chi Minh,Ha Noi,Male,2001-10-12,VIP,Can Tho - Ninh Kieu,Event,2024-07-31,Dang Ngoc Trang,0778352199
CL00074,C0047,2024-08-04,13:58,AG01,480,Connected - Interested,Negative,Term Deposit,,8.0,Dang Ngoc Trang,0778-352-199,"206 Le Loi, P.7",Ho Chi Minh,Ha Noi,Male,2001-10-12,VIP,Can Tho - Ninh Kieu,Event,2024-07-31,Dang Ngoc Trang,0778352199
CL00075,C0048,2024-04-14,10:00,AG07,25,Busy,,Savings Account,,0.4166666666666667,tran quang an,+84354665891,"7 Nguyen Thi Minh Khai, P.5",Hai Phong,Ha Noi,Male,2006-05-05,VIP,Ha Noi - Hoan Kiem,Old customer list,2024-08-24,Tran Quang An,0354665891
CL00076,C0049,2024-07-15,12:37,AG05,7,Wrong Number,,Personal Loan,Phone number incorrect.,0.11666666666666667,Tran Ngoc An,+84534081467,"151 Tran Hung Dao, P.7",Ho Chi Minh,Can Tho,Female,1996-05-15,SME,HCM - District 1,Event,2024-02-22,Tran Ngoc An,0534081467
CL00077,C0050,2024-02-22,12:09,AG03,14,Busy,,Credit Card,,0.23333333333333334,Pham Anh Phuc,+84980659331,"24 Dien Bien Phu, P.15",Hai Phong,TP.HCM,Male,1996-04-17,SME,HCM - Phu Nhuan,Branch referral,2024-08-04,Pham Anh Phuc,0980659331
CL00078,C0050,2024-05-24,12:13,AG06,13,Busy,,Savings Account,,0.21666666666666667,Pham Anh Phuc,+84980659331,"24 Dien Bien Phu, P.15",Hai Phong,TP.HCM,Male,1996-04-17,SME,HCM - Phu Nhuan,Branch referral,2024-08-04,Pham Anh Phuc,0980659331
CL00079,C0052,2024-06-21,11:00,AG02,53,Call Back Later,,Term Deposit,Customer asked to be called again next week.,0.8833333333333333,vo thi nam,0507 574 751,"243 Nguyen Trai, P.15",Hai Phong,Da Nang,Female,1997-06-08,Mass,HCM - District 1,Old customer list,2024-02-10,Vo Thi Nam,0507574751
CL00080,C0052,2024-12-13,15:38,AG02,30,No Answer,,Savings Account,,0.5,vo thi nam,0507 574 751,"243 Nguyen Trai, P.15",Hai Phong,Da Nang,Female,1997-06-08,Mass,HCM - District 1,Old customer list,2024-02-10,Vo Thi Nam,0507574751
CL00081,C0053,2024-04-27,10:58,AG04,325,Connected - Interested,Negative,Credit Card,,5.416666666666667,dang quang binh,+84774831165,"153 Nguyen Thi Minh Khai, P.5",Can Tho,Hai Phong,Female,2016-01-20,Mass,HCM - District 1,Partnership,2024-01-15,Dang Quang Binh,0774831165
CL00082,C0055,2024-08-23,12:29,AG03,34,Busy,,Savings Account,,0.5666666666666667,DO THANH LOAN,0713678796,"148 Nguyen Thi Minh Khai, P.2",Ha Noi,Can Tho,Male,1997-12-12,Mass,Ha Noi - Hoan Kiem,Partnership,2024-01-09,Do Thanh Loan,0713678796
CL00083,C0058,2024-09-11,14:14,AG05,41,No Answer,,Personal Loan,,0.6833333333333333,dang anh phuc,0927 142 646,"102 Nguyen Trai, P.1",Ha Noi,Da Nang,Male,1997-05-21,Retail,Ha Noi - Hoan Kiem,Event,2024-03-03,Dang Anh Phuc,0927142646
CL00084,C0058,2024-03-06,18:50,AG06,43,Wrong Number,,Personal Loan,Phone number incorrect.,0.7166666666666667,dang anh phuc,0927 142 646,"102 Nguyen Trai, P.1",Ha Noi,Da Nang,Male,1997-05-21,Retail,Ha Noi - Hoan Kiem,Event,2024-03-03,Dang Anh Phuc,0927142646
CL00085,C0058,2024-07-10,19:33,AG02,325,Connected - Not Interested,Negative,Personal Loan,Customer refused politely.,5.416666666666667,dang anh phuc,0927 142 646,"102 Nguyen Trai, P.1",Ha Noi,Da Nang,Male,1997-05-21,Retail,Ha Noi - Hoan Kiem,Event,2024-03-03,Dang Anh Phuc,0927142646
CL00086,C0059,2024-10-12,18:50,AG02,466,Connected - Not Interested,Neutral,Term Deposit,Customer refused politely.,7.766666666666667,vo van an,+84971375880,"5 Pham Van Dong, P.1",Da Nang,Hai Phong,Female,1984-01-23,VIP,Da Nang - Hai Chau,Event,2024-03-21,Vo Van An,0971375880
CL00087,C0060,2024-09-05,13:32,AG07,28,Wrong Number,,Personal Loan,Phone number incorrect.,0.4666666666666667,tran quang an,,"21 Ly Thuong Kiet, P.5",Da Nang,Ha Noi,Female,2017-10-11,Retail,HCM - District 1,Partnership,2024-06-11,Tran Quang An,
CL00088,C0060,2024-01-30,14:41,AG01,55,No Answer,,Credit Card,,0.9166666666666666,tran quang an,,"21 Ly Thuong Kiet, P.5",Da Nang,Ha Noi,Female,2017-10-11,Retail,HCM - District 1,Partnership,2024-06-11,Tran Quang An,
CL00089,C0060,2024-05-12,11:09,AG02,21,Busy,,Term Deposit,,0.35,tran quang an,,"21 Ly Thuong Kiet, P.5",Da Nang,Ha Noi,Female,2017-10-11,Retail,HCM - District 1,Partnership,2024-06-11,Tran Quang An,
